 [k: 1]  [k_values[k]: [(1, 1)]] 
 [k: 2]  [k_values[k]: [(1, 1), (3, 1)]] 
 [k: 3]  [k_values[k]: [(1, 3)]] 
 [k: 4]  [k_values[k]: [(1, 4)]] 
 [k: 5]  [k_values[k]: [(1, 2), (3, 2), (7, 1)]] 
 [k: 6]  [k_values[k]: [(1, 5), (5, 1)]] 
 [k: 7]  [k_values[k]: [(1, 7)]] 
 [k: 8]  [k_values[k]: [(1, 4), (3, 3), (11, 1)]] 
 [k: 9]  [k_values[k]: [(1, 9)]] 
 [k: 10]  [k_values[k]: [(1, 10)]] 
 [k: 11]  [k_values[k]: [(1, 6), (3, 2), (5, 1), (9, 1), (15, 1)]] 
 [k: 12]  [k_values[k]: [(1, 10), (7, 2)]] 
 [k: 13]  [k_values[k]: [(1, 13)]] 
 [k: 14]  [k_values[k]: [(1, 8), (3, 5), (19, 1)]] 
 [k: 15]  [k_values[k]: [(1, 15)]] 
 [k: 16]  [k_values[k]: [(1, 12), (5, 3), (13, 1)]] 
 [k: 17]  [k_values[k]: [(1, 10), (3, 6), (23, 1)]] 
 [k: 18]  [k_values[k]: [(1, 18)]] 
 [k: 19]  [k_values[k]: [(1, 14), (7, 3), (11, 2)]] 
 [k: 20]  [k_values[k]: [(1, 13), (3, 5), (9, 1), (27, 1)]] 
 [k: 21]  [k_values[k]: [(1, 16), (5, 4), (17, 1)]] 
 [k: 22]  [k_values[k]: [(1, 22)]] 
 [k: 23]  [k_values[k]: [(1, 14), (3, 8), (31, 1)]] 
 [k: 24]  [k_values[k]: [(1, 24)]] 
 [k: 25]  [k_values[k]: [(1, 25)]] 
 [k: 26]  [k_values[k]: [(1, 12), (3, 6), (5, 2), (7, 2), (15, 2), (21, 1), (35, 1)]] 
 [k: 27]  [k_values[k]: [(1, 27)]] 
 [k: 28]  [k_values[k]: [(1, 28)]] 
 [k: 29]  [k_values[k]: [(1, 18), (3, 6), (9, 3), (13, 1), (39, 1)]] 
 [k: 30]  [k_values[k]: [(1, 27), (11, 3)]] 
 [k: 31]  [k_values[k]: [(1, 25), (5, 5), (25, 1)]] 
 [k: 32]  [k_values[k]: [(1, 20), (3, 11), (43, 1)]] 
 [k: 33]  [k_values[k]: [(1, 26), (7, 5), (19, 2)]] 
 [k: 34]  [k_values[k]: [(1, 34)]] 
 [k: 35]  [k_values[k]: [(1, 22), (3, 12), (47, 1)]] 
 [k: 36]  [k_values[k]: [(1, 28), (5, 7), (29, 1)]] 
 [k: 37]  [k_values[k]: [(1, 37)]] 
 [k: 38]  [k_values[k]: [(1, 24), (3, 8), (9, 4), (17, 1), (51, 1)]] 
 [k: 39]  [k_values[k]: [(1, 39)]] 
 [k: 40]  [k_values[k]: [(1, 32), (7, 6), (23, 2)]] 
 [k: 41]  [k_values[k]: [(1, 20), (3, 10), (5, 4), (11, 2), (15, 3), (33, 1), (55, 1)]] 
 [k: 42]  [k_values[k]: [(1, 39), (13, 3)]] 
 [k: 43]  [k_values[k]: [(1, 43)]] 
 [k: 44]  [k_values[k]: [(1, 28), (3, 15), (59, 1)]] 
 [k: 45]  [k_values[k]: [(1, 45)]] 
 [k: 46]  [k_values[k]: [(1, 36), (5, 9), (37, 1)]] 
 [k: 47]  [k_values[k]: [(1, 26), (3, 10), (7, 5), (9, 2), (21, 1), (27, 2), (63, 1)]] 
 [k: 48]  [k_values[k]: [(1, 48)]] 
 [k: 49]  [k_values[k]: [(1, 49)]] 
 [k: 50]  [k_values[k]: [(1, 32), (3, 17), (67, 1)]] 
 [k: 51]  [k_values[k]: [(1, 40), (5, 10), (41, 1)]] 
 [k: 52]  [k_values[k]: [(1, 44), (11, 5), (19, 3)]] 
 [k: 53]  [k_values[k]: [(1, 34), (3, 18), (71, 1)]] 
 [k: 54]  [k_values[k]: [(1, 44), (7, 8), (31, 2)]] 
 [k: 55]  [k_values[k]: [(1, 48), (13, 4), (17, 3)]] 
